Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
10,10,0.42773515,-0.02972999,-0.399142,0.17488398,-2426.519590651723,5,-2364.685852579135,-2426.519590651723,-2542.1258736648724,66.5984245754591,-2.2624344403272816,-2.4265195906517225,-2.626326662443944,0.06714990569453069,55,55000,1000,1000.0,1000,0.0,0.99876505,0.015993519,-0.9972308,0.5948847,-4174.026548622468,1,-4174.026548622468,-4174.026548622468,-4174.026548622468,0.0,-1.740393090239961,-4.174026548622466,-5.184641963985579,0.6792578403509898,12,12000,1000,1000.0,1000,0.0,12000,0.008345081005245447,18.4926184611395,7.1394400000572205,1.4789606090635061,0.02010785462334752,7.959213996306062,1.8864887449890375,793.1817798474804,6.217509508132935e-05,-3.3328342,-5.2767677,-8.737627,0.744071,-45.853973,152.49698,41.4474,-189.82985,69.82495,150.93376,40.933125,-189.64958,69.826004,150.89833,41.02407,-190.78697,69.8128,3.671038,3.3686838,11000,0.654638,0.011476591,-0.60434204,0.17531718,-0.021586837,-0.12943894,-0.3293604,0.037245367,0.9786445,0.8791928,0.7193837,0.032351486
11,11,0.46781176,-0.04158974,-0.40397826,0.17545965,-2476.5408176788706,5,-2166.695429680037,-2476.5408176788706,-2653.341667558843,169.1004227820424,-2.1653715220237717,-2.4765408176788704,-2.6883472069676113,0.16940809213981686,60,60000,1000,1000.0,1000,0.0,0.9971069,-0.0112171285,-0.9962732,0.5968495,-4439.007741263228,1,-4439.007741263228,-4439.007741263228,-4439.007741263228,0.0,-1.2291335815081283,-4.439007741263223,-5.500593332701628,0.9782909298340304,13,13000,1000,1000.0,1000,0.0,13000,0.008373145945370197,18.34980921400711,7.661456199828535,1.5832234732806683,0.021366000175476074,8.400699238758534,0.674648426938802,869.5550489802845,4.2729079723358154e-05,-2.7458262,-5.221938,-9.025313,0.7484961,-48.743614,160.81755,43.55969,-186.03183,67.714935,161.68323,43.814198,-185.3725,67.58346,161.04712,43.78325,-186.04135,67.589806,4.1483116,4.049123,12000,0.6822803,-0.022802856,-0.85030544,0.19240823,-0.0160451,-0.13731287,-0.29498848,0.047013722,0.98408294,0.8726542,0.74454015,0.040588416
12,12,0.48037347,-0.03566151,-0.43142354,0.19871797,-2234.6679377756686,5,-1888.7609415171755,-2234.6679377756686,-2361.493333882028,175.96472261839932,-1.8826420182289556,-2.234667937775669,-2.5088359418736945,0.17680275787059815,65,65000,1000,1000.0,1000,0.0,0.9933973,-0.066632584,-0.99618703,0.57606196,-2646.1425593833587,1,-2646.1425593833587,-2646.1425593833587,-2646.1425593833587,0.0,-0.8407155705796234,-2.6461425593833567,-3.5243135494333004,0.4085640668916194,14,14000,1000,1000.0,1000,0.0,14000,0.00833255285397172,16.39507036563009,7.201356176752597,1.4847693271003664,0.009117892012000084,7.663741861470044,0.027712132781744003,943.7288298220374,4.042265936732292e-05,-2.7566996,-5.250494,-6.771693,0.6620732,-53.47494,167.8418,48.436638,-226.2373,80.21002,167.41803,48.823273,-225.6999,80.232475,167.6696,48.910362,-226.93016,80.24551,5.5263195,5.365003,13000,0.78118443,-0.011819594,-0.7234819,0.19286165,-0.020461455,-0.14587148,-0.3488943,0.050587386,0.97974646,0.86536366,0.7054677,0.04310415
13,13,0.51307607,-0.04000768,-0.42070284,0.20317882,-2150.761396240198,5,-1996.3523557057035,-2150.761396240198,-2443.788225000886,158.30375374575445,-1.9397228986712312,-2.1507613962401964,-2.625840536379785,0.16012328246255267,70,70000,1000,1000.0,1000,0.0,0.99587864,-0.0044820444,-0.9987625,0.6051194,-3867.6691713151795,1,-3867.6691713151795,-3867.6691713151795,-3867.6691713151795,0.0,-0.9000582610726685,-3.8676691713151765,-5.79190228723864,1.2324868538711875,15,15000,1000,1000.0,1000,0.0,15000,0.008421546313911676,19.212289590388536,7.074497213121504,1.523226489778608,0.49792122608050704,7.814588531386107,2.293588829692453,1029.968240567483,4.575401544570923e-05,-1.5660572,-5.225627,-8.129621,0.75991136,-48.556362,174.60373,43.750652,-237.04393,84.20418,175.4545,44.034874,-236.63069,84.377754,174.27654,43.59372,-236.84222,84.294815,8.818906,8.027523,14000,0.6526239,0.0035764957,-0.71969724,0.19528891,-0.0132983895,-0.14151648,-0.34296486,0.047961764,0.98678964,0.86902976,0.70966315,0.041075636
14,14,0.59405077,-0.003957971,-0.4479461,0.23797499,-2354.789000359224,5,-2155.033274351056,-2354.789000359224,-2598.0610118161803,158.9112482369245,-2.152872758437928,-2.3547890003592227,-2.5990651608090873,0.15937542344145111,75,75000,1000,1000.0,1000,0.0,0.99865687,0.008946576,-0.99838287,0.60030884,-4706.971346943869,1,-4706.971346943869,-4706.971346943869,-4706.971346943869,0.0,-2.167236839568012,-4.70697134694387,-6.8360721492346705,1.2906186193723683,16,16000,1000,1000.0,1000,0.0,16000,0.008402680978178978,19.752731316257268,7.7208149852231145,1.619234403129667,0.055116306990385056,8.914634205866605,1.434473322238773,1102.7271691062488,5.541183054447174e-05,-2.8772764,-5.165093,-9.223078,0.82003534,-60.712563,185.09389,55.681004,-233.68842,82.22824,183.59903,55.823624,-232.8419,81.94014,184.7623,55.84229,-230.75655,81.97845,6.6848135,7.028583,15000,0.7422961,0.0040182536,-0.7329117,0.2074222,-0.007127232,-0.15135479,-0.3070124,0.05103785,0.9928981,0.860656,0.7356415,0.043536868
15,15,0.6078319,0.01826226,-0.47862458,0.24620523,-2330.549084551257,5,-2120.169135162008,-2330.549084551257,-2426.471477411923,111.6481035609471,-2.1161978175547578,-2.3305490845512575,-2.5411461894992495,0.1121970291242225,80,80000,1000,1000.0,1000,0.0,0.99382186,0.0010488877,-0.9959121,0.5755247,-2899.9102042748527,1,-2899.9102042748527,-2899.9102042748527,-2899.9102042748527,0.0,-1.1570578316799283,-2.899910204274851,-4.603956359667335,0.5538251080835205,17,17000,1000,1000.0,1000,0.0,17000,0.008312636986374855,17.863865150604397,7.069134858902544,1.4738571122288704,0.010097740218043327,7.527542831376195,1.7748773167841136,1174.6015047677793,4.265410825610161e-05,-1.8641639,-5.167835,-7.236212,0.84244084,-58.036407,188.92632,53.924908,-260.80304,88.530945,188.18039,53.460426,-260.91647,88.78497,187.49182,53.403244,-261.60626,88.873985,7.5268846,7.8359833,16000,0.74831223,-0.005337247,-0.8175149,0.21623528,-0.00067358045,-0.15184695,-0.3372759,0.052205656,0.99932665,0.86028445,0.7137119,0.04454373
16,16,0.63720226,0.020450717,-0.43319282,0.20433083,-2186.66318465775,5,-1958.5345739957572,-2186.66318465775,-2322.7221470395143,138.36170213600863,-1.9063908878796127,-2.186663184657752,-2.70594097455671,0.14347962893085672,85,85000,1000,1000.0,1000,0.0,0.9982698,-0.013948053,-0.99556637,0.58945894,-3346.2617269971565,1,-3346.2617269971565,-3346.2617269971565,-3346.2617269971565,0.0,-1.8535680370222298,-3.346261726997151,-4.21342313783973,0.40421294008729564,18,18000,1000,1000.0,1000,0.0,18000,0.008380164857953787,23.573264150880277,7.451620009262115,1.582320821005851,0.009225402027368546,9.198346320074052,5.323329173959792,1255.895551180467,4.225969314575195e-05,-2.1907926,-5.165947,-7.8800516,0.89384717,-63.399666,190.46819,58.296436,-267.6354,93.17873,194.53915,58.723583,-270.72617,93.396866,193.85869,58.941902,-270.0576,93.37768,7.5540314,9.133284,17000,0.77818644,-0.0016808019,-0.7484905,0.23045042,0.023559751,-0.15888678,-0.33643907,0.052551094,1.0238395,0.8542719,0.7143094,0.044938385
17,17,0.61302257,-0.0018918839,-0.39327687,0.23019876,-2361.2113437007147,5,-2182.623544527925,-2361.2113437007147,-2570.736886787342,152.42911625602426,-2.141918060445992,-2.3612113437007163,-2.6026584861293345,0.152625340552013,90,90000,1000,1000.0,1000,0.0,0.99881405,0.013752231,-0.9973801,0.6039494,-5624.666169326953,1,-5624.666169326953,-5624.666169326953,-5624.666169326953,0.0,-2.015252760481888,-5.624666169326947,-6.761035726241907,0.9148964770682155,19,19000,1000,1000.0,1000,0.0,19000,0.008491355925798416,16.180084644816816,7.129461007192731,1.4851663927547634,0.009035286027938128,7.521491955965757,0.026396960951387882,1322.7109726420604,4.168599843978882e-05,1.0439749,-5.0356283,-9.219329,1.1038982,-58.22145,201.28033,53.878403,-277.7229,94.49644,199.62587,53.31806,-279.3339,94.03744,197.60112,53.880848,-279.54276,94.32467,11.347513,9.975201,18000,0.8099053,0.006589012,-0.8569393,0.240798,0.012115343,-0.16058168,-0.37872747,0.056446284,1.012189,0.85299796,0.6847322,0.047748454
18,18,0.6371019,-0.037800036,-0.44616586,0.23874484,-2374.32137024255,5,-2045.2774329517533,-2374.32137024255,-2524.844550286846,170.40895759700146,-2.012511583368987,-2.37432137024255,-2.572834872773881,0.17128200364870683,95,95000,1000,1000.0,1000,0.0,0.9975164,0.0016420236,-0.99766695,0.5715143,-2950.208680954329,1,-2950.208680954329,-2950.208680954329,-2950.208680954329,0.0,-1.5308091672125514,-2.9502086809543293,-3.9541842777544085,0.3747005116162965,20,20000,1000,1000.0,1000,0.0,20000,0.00835327710956335,16.239014007616788,7.180785560049117,1.479816626291722,0.009332951158285141,7.533554787281901,0.02712276903912425,1403.4113351018168,4.8036687076091766e-05,-2.4321547,-5.1538897,-9.532898,0.9398348,-64.06955,207.74681,58.630356,-287.113,87.456474,205.08105,59.133835,-286.1492,87.43734,209.28795,59.723263,-284.77258,87.50653,11.309261,12.577487,19000,0.79802966,0.0023238463,-0.73809004,0.24225208,-0.0129674375,-0.17131674,-0.41158077,0.062343,0.9871163,0.8441802,0.662602,0.0520336
19,19,0.58284193,-0.008448408,-0.55526114,0.27154458,-2360.501251176987,5,-1961.9115437512964,-2360.501251176987,-2680.617016684255,239.10268745754314,-1.9491914356482674,-2.360501251176988,-2.91427611301152,0.24062963673842,100,100000,1000,1000.0,1000,0.0,0.99724025,0.029876767,-0.9978528,0.60209346,-5189.510011359749,1,-5189.510011359749,-5189.510011359749,-5189.510011359749,0.0,-2.18836551303486,-5.189510011359747,-6.947359043885012,0.7800216509261225,21,21000,1000,1000.0,1000,0.0,21000,0.00830670865252614,17.579120744019747,7.667300704866648,1.6358735840767622,0.009387556929141283,8.229572187643498,0.028632543981075287,1480.694773576688,4.7457870095968246e-05,-1.456255,-5.1266584,-8.332073,0.9473639,-55.20998,213.77596,51.162567,-294.7178,91.12618,211.27176,50.894386,-295.33798,91.00925,211.02306,50.807617,-295.84555,91.00848,10.240068,10.770131,20000,0.6868508,-0.0017111374,-0.8212466,0.23768237,-0.0116371885,-0.16503718,-0.3685547,0.06117632,0.98843026,0.84943765,0.69173336,0.051379528
