Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0004341625,-1.2924216e-05,-0.00039311204,3.7501726e-05,0.00431178110888196,5,0.4787702321439136,0.00431178110888196,-0.7473702931034835,0.41498359550135205,0.21855611920260953,4.311781108882328e-06,-0.23469729822042065,0.012270372710640427,5,5000,1000,1000.0,1000,0.0,0.9985298,-0.0015664921,-0.9988623,0.62623435,-150.24100534410263,1,-150.24100534410263,-150.24100534410263,-150.24100534410263,0.0,1.4309648888302835,-0.15024100534410276,-2.1644538459084357,0.565126914241693,2,2000,1000,1000.0,1000,0.0,2000,0.010711290873587132,36.569590979255736,6.499736170750111,1.1678650500252843,20.532827668823302,8.29032472660765,0.06807131785899401,39.61760007357225,5.475431680679321e-05,-2.5484695,-4.019368,-5.272861,0.53642076,-4.0168457,6.1750407,3.8553672,1.6939075,0.79396117,0.0068779024,-0.0002607201,-0.009228941,0.002736807,0.0063744383,-0.0014921029,-0.008984942,0.0025470257,15.495907,15.505858,1000,0.005259324,0.00017505667,-0.005482607,0.001531984,0.0057825423,0.00026544154,-0.0043930802,0.0015632504,1.0057993,1.0002667,0.99561656,0.0015637372
1,1,0.25074613,0.08100969,0.0033184665,0.07655776,-3.894455576781806,5,-3.629869184475948,-3.894455576781806,-4.231018441947756,0.2258663566014084,0.2824997875028335,-0.0038944555767818165,-0.25083349297678137,0.013742806722404253,10,10000,1000,1000.0,1000,0.0,0.9977845,0.06203956,-0.99571127,0.59290123,-229.46374005929306,1,-229.46374005929306,-229.46374005929306,-229.46374005929306,0.0,2.2087710638136913,-0.22946374005929282,-2.3208619413712936,0.637421188501479,3,3000,1000,1000.0,1000,0.0,3000,0.010683933738619089,14.54011264629662,5.116377383936197,1.1683919769711792,0.010168633423745632,8.185774252284318,0.04867479298263788,54.797707110177726,4.16729599237442e-05,-2.5884924,-3.997458,-5.580753,0.47889277,-19.906517,21.013302,15.951207,11.905011,1.6053036,21.232315,15.906496,12.0198765,1.5310204,21.336048,15.914728,11.799027,1.5429131,0.57964545,0.5444495,2000,0.44555563,0.049040034,-0.24619785,0.10860929,-0.058247633,-0.1064289,-0.19253325,0.018104868,0.9434163,0.8991861,0.8248669,0.016236018
2,2,0.22077303,0.06304454,-0.075164944,0.07051476,-3.3283859641343447,5,-2.943178791356125,-3.3283859641343447,-3.7768562517920286,0.325231584533768,0.2637911416519522,-0.0033283859641343484,-0.3995391333486894,0.02221078793479198,15,15000,1000,1000.0,1000,0.0,0.99806213,0.019010168,-0.9982088,0.5991463,-137.7243142664766,1,-137.7243142664766,-137.7243142664766,-137.7243142664766,0.0,1.9801858952815328,-0.13772431426647652,-2.338375173969705,0.7151809856428831,4,4000,1000,1000.0,1000,0.0,4000,0.010644590016454458,14.699241884984076,5.1339975176379085,1.1661709728650749,0.009958587121218443,8.328223236836493,0.05020141275599599,70.15907934913412,4.556775093078613e-05,-2.9945235,-4.0489187,-5.0942335,0.38542706,-35.901825,39.492115,32.090637,26.006592,2.2704818,39.04715,31.972618,26.7821,2.183995,39.086422,31.9743,26.595034,2.1667361,0.5737448,0.6192195,3000,0.3412339,0.03165411,-0.24003996,0.082404085,-0.057580236,-0.09554448,-0.16135707,0.017000733,0.94404614,0.909009,0.85098815,0.015389106
